source_page,category,code,name,sale_price,source_initial_stock,source_total_stock,import_stock,requires_review
2,Abarrotes,000198412,GORRA TOMMY JEANS,250.0,0.0,0.0,0,
2,Abarrotes,000198413,GORRA TOMMY AZUL,140.0,0.0,0.0,0,
2,Abarrotes,000198414,GORRA ADIDAS AZUL,210.0,0.0,0.0,0,
2,Abarrotes,000198415,GORRA CAPZ AZULONA,200.0,0.0,0.0,0,
2,Abarrotes,000198416,GORRA POLO AZUL CLARO,240.0,0.0,0.0,0,
2,Abarrotes,000198417,GORRA FLEXFIT,160.0,0.0,0.0,0,
2,Abarrotes,000198418,GORRA JORDAN ROJA,120.0,0.0,0.0,0,
2,Abarrotes,000198419,Azucar Pantaleon Arroba 10 kg,345.0,0.0,0.0,0,
2,Abarrotes,000198420,PINTURA CR,30.0,0.0,0.0,0,
2,Abarrotes,000198421,ARROZ ESPERANZA 60/40,11.7,0.0,0.0,0,
2,Abarrotes,000198422,ARROZ LA ESPERANZA 80/20,14.5,0.0,0.0,0,
2,Abarrotes,000198423,Frambuesa Rey 350 ml,16.0,0.0,0.0,0,
2,Abarrotes,000198424,COCOA DULCE 400 GR,105.0,22.0,22.0,22.0,
2,Abarrotes,000198425,LIMA IMACASA,43.33,4.0,4.0,4.0,
2,Abarrotes,000198426,PIMIENTA OLOROSA GRANDE,6.0,2.0,2.0,2.0,
2,Abarrotes,000198427,ARROZ SAMARITANO 60/40,11.9,0.0,0.0,0,
2,Abarrotes,000198428,FILETE PREPARADO,210.0,0.0,0.0,0,
2,Abarrotes,000198429,CUADERNOS LORO VERDE GRANDE,40.0,0.0,0.0,0,
2,Abarrotes,000198430,AZUCAR DEL INGENIO ARROBA 10 K,345.0,17.0,46.0,46.0,
2,Abarrotes,000198431,"ACEITE SANTA MONICA 3,785 LT",310.0,0.0,0.0,0,
2,Abarrotes,000198432,BOLSA DE MASEN USADAS,5.0,0.0,0.0,0,
3,Abarrotes,000198433,JABON ZOON,25.83,0.0,0.0,0,
3,Abarrotes,000198434,ACEITE PALMA RICA 3.785 LT,300.0,0.0,0.0,0,
3,Abarrotes,000198435,LAZOS PEQUEÑOS,15.0,0.0,0.0,0,
3,Abarrotes,000198436,SOMBRAS YH 18 COLORES,65.0,6.0,6.0,6.0,
3,Abarrotes,000198437,GORRO CONEJITO,45.0,0.0,0.0,0,
3,Abarrotes,000198438,GORRITO PELOTA,80.0,0.0,0.0,0,
3,Abarrotes,000198439,GORRO KIDDS,50.0,0.0,0.0,0,
3,Abarrotes,000198440,BOXER NIÑO WEAR WOLF,100.0,3.0,3.0,3.0,
3,Abarrotes,000198441,TOALLAS PRINCESSA,170.0,0.0,0.0,0,
3,Abarrotes,000198442,PANITAS DECORADAS JL,30.0,0.0,0.0,0,
3,Abarrotes,000198443,PIRAÑAS PLASTICA DE COLORES,5.0,0.0,0.0,0,
3,Abarrotes,000198444,PIÑATA ANGELINA,195.0,0.0,0.0,0,
3,Abarrotes,000198445,PIÑATA WOODY,185.0,0.0,0.0,0,
3,Abarrotes,000198446,PIÑATA PRINCESA,200.0,0.0,0.0,0,
3,Abarrotes,000198447,ACEITE PALMA RICA 10 LT,720.0,0.0,0.0,0,
3,Abarrotes,000198448,DIADEMAS PARA DAMAS,50.0,0.0,0.0,0,
3,Abarrotes,000198449,ESCOBAS ECOPLAST PEQUEÑA,95.0,0.0,0.0,0,
3,Abarrotes,000198450,TINA MEGA GRANDE CON TAPA,500.0,0.0,0.0,0,
3,Abarrotes,000198451,TINA PROPLAS C0N TAPA PEQUEÑA,300.0,0.0,0.0,0,
3,Abarrotes,000198452,TINA CON AGARRDERO MEGA,380.0,0.0,0.0,0,
3,Abarrotes,000198453,SILLAS DE NIÑAS PRIMA,165.0,0.0,0.0,0,
3,Abarrotes,000198454,SILLAS CON RESPALDADERO,180.0,0.0,0.0,0,
3,Abarrotes,000198455,AZUCAR DEL INGENIO,11.62,0.0,0.0,0,
3,Abarrotes,000198456,SET DE VASOS DE COLORES,180.0,0.0,0.0,0,
4,Abarrotes,000198457,MASCARILLA,2.2,55.0,55.0,55.0,
4,Abarrotes,000198458,TERMO VACUUM FLASK 1.8 LT,260.0,3.0,3.0,3.0,
4,Abarrotes,000198459,LAZOS DE PICOS DE MIKEY Y PRINCESSA,20.0,0.0,0.0,0,
4,Abarrotes,000198460,ALCOHOL ANTIBACTERIAL ORVEL,130.0,0.0,0.0,0,
4,Abarrotes,000198461,SET DE PANAS TAPA DE COLORES,150.0,0.0,0.0,0,
4,Abarrotes,000198462,SET DE PANAS VERDES DECORADAS,150.0,0.0,0.0,0,
4,Abarrotes,000198463,CANASTA ROPERA MEGA,380.0,3.0,3.0,3.0,
4,Abarrotes,000198464,ACEITE SAN ANTONIO 10 LT,640.0,0.0,0.0,0,
4,Abarrotes,000198465,INSECTICIDA 2-4-D,260.0,4.0,4.0,4.0,
4,Abarrotes,000198466,INSECTICIDA GRAMOXONE,190.0,0.0,0.0,0,
4,Abarrotes,000198467,INSECTICIDA GLIFOSATO,222.0,1.0,1.0,1.0,
4,Abarrotes,000198468,PRENSAPELO ESCARCHADOS WONDER NATION,45.0,0.0,0.0,0,
4,Abarrotes,000198469,PRENSAPELO DE LAZO ACCESSORY,25.0,0.0,0.0,0,
4,Abarrotes,000198470,HULES ABCD,45.0,0.0,0.0,0,
4,Abarrotes,000198471,ATOMIZADOR PEQ,65.0,0.0,0.0,0,
4,Abarrotes,000198472,PLATITOS ONDOS PM P.MARGARITA,35.0,0.0,0.0,0,
4,Abarrotes,000198473,PLATOS DE LOSA DE COLORES,40.0,0.0,0.0,0,
4,Abarrotes,000198474,PLATOS DE VIDRIO GRANDES,40.0,0.0,0.0,0,
4,Abarrotes,000198475,POMADA DE LA VACA,30.0,0.0,0.0,0,
4,Abarrotes,000198476,GOTAS PARA EL PELO IC KERATINA 180 ML,110.0,0.0,0.0,0,
4,Abarrotes,000198477,GOTAS PARA PELO OLIVE OIL 200 ML,175.0,0.0,0.0,0,
4,Abarrotes,000198478,ARROZ REYNA 80/20,630.0,0.0,0.0,0,
4,Abarrotes,000198479,TOBILLERA CAMINANDO CABALLERO,14.0,0.0,0.0,0,
4,Abarrotes,000198480,TOBILLERA DAMA MARYURI,25.0,17.0,17.0,17.0,
5,Abarrotes,000198481,TOBILLERA SOCITEX DAMA,15.0,1.0,1.0,1.0,
5,Abarrotes,000198482,PACHA CHIQUITAS SENCILLAS,35.0,0.0,0.0,0,
5,Abarrotes,000198483,JABON TUYO,150.0,0.0,0.0,0,
5,Abarrotes,000198484,"BLUMER VK""S LOVE",40.0,0.0,0.0,0,
5,Abarrotes,000198485,Lapiz de Grafito Latino,3.0,16.0,16.0,16.0,
5,Abarrotes,000198486,PINTURA MKC 18 ML,35.0,0.0,0.0,0,
5,Abarrotes,000198487,PERCOLADORA MILENIUM,400.0,0.0,0.0,0,
5,Abarrotes,000198488,TAZAS CHINA I LOVE MOM,40.0,0.0,0.0,0,
5,Abarrotes,000198489,VASO POROPLAS POLY CUPS 6 ONZ,15.0,0.0,0.0,0,
5,Abarrotes,000198490,ARROZ MARIA 50/50,11.3,0.0,0.0,0,
5,Abarrotes,000198491,QUESITO,200.0,34.0,33.0,33.0,
5,Abarrotes,000198492,LUCES MULTI FUNCION 100 L,45.0,0.0,0.0,0,
5,Abarrotes,000198493,CAMISOLIN TRICOTEXTIL ADULTO,135.0,1.0,1.0,1.0,
5,Abarrotes,000198494,PINESOL TINA,55.0,1.0,1.0,1.0,
5,Abarrotes,000198495,BRASIEL LOVE STYLO,145.0,0.0,0.0,0,
5,Abarrotes,000198496,ARROZ SOL 80/20,14.2,0.0,0.0,0,
5,Abarrotes,000198497,PORRA DE ALUMINIO #28,285.0,0.0,0.0,0,
5,Abarrotes,000198498,TAJADEROS DE PLASTICOS,150.0,1.0,1.0,1.0,
5,Abarrotes,000198499,BLUMERCITO LOVABLE NIÑA,44.0,13.0,13.0,13.0,
5,Abarrotes,000198500,QUESO AMARRILLO,35.0,0.0,0.0,0,
5,Abarrotes,000198501,MOCHILA LIVING,600.0,0.0,0.0,0,
5,Abarrotes,000198502,BOLSO SHAMPION,420.0,0.0,0.0,0,
5,Abarrotes,000198503,ARROZ DON CARLOS 80/20,16.0,0.0,0.0,0,
5,Abarrotes,000198504,ARROZ DELFIN 50%,12.7,0.5,0.5,0.5,
6,Abarrotes,000198505,PACHA DE BEBES ECONOMICA,30.0,0.0,0.0,0,
6,Abarrotes,000198506,CALSETINES WAKIDS,35.0,0.0,0.0,0,
6,Abarrotes,000198507,PAPEL HIGIENICO NEVAX RENDIDOR 1X24,21.67,215.0,575.0,575.0,
6,Abarrotes,000198508,PAPEL HIGIENICO NEVAX PRACTIT 1X4,35.0,0.0,0.0,0,
6,Abarrotes,000198509,GORRA LEVIS ECONOMICA,185.0,0.0,0.0,0,
6,Abarrotes,000198510,SET DE PANA REDONDA ANARANJADA,150.0,0.0,0.0,0,
6,Abarrotes,000198511,PANA GUACAL SALVA PLASTIC,30.0,1.0,1.0,1.0,
6,Abarrotes,000198512,PAILA CON OREJA LOTUS #24,270.0,0.0,0.0,0,
6,Abarrotes,000198513,PAILA CON OREJA LOTUS #28,380.0,0.0,0.0,0,
6,Abarrotes,000198514,PANAS HONESTAR,38.0,0.0,0.0,0,
6,Abarrotes,000198515,CIGARRO MODERN,33.0,1396.5,1367.5,1367.5,
6,Abarrotes,000198516,LAPIZ DE CEJA NIÑA BONITA,10.0,0.0,0.0,0,
6,Abarrotes,000198517,GUSTITO,165.0,0.0,0.0,0,
6,Abarrotes,000198518,ABANICO SANKEY,2300.0,0.0,0.0,0,
6,Abarrotes,000198519,ARROZ NICOYA,18.0,0.0,0.0,0,
6,Abarrotes,000198520,PANTALLA MILENIUM 24,3650.0,0.0,0.0,0,
6,Abarrotes,000198521,CARAMELO MIEL RELLENO,110.0,0.0,0.0,0,
6,Abarrotes,000198522,LECHE BURRA,85.0,20.0,17.0,17.0,
6,Abarrotes,000198523,ARROZ SAMARITANO 96/4,21.7,61.0,61.0,61.0,
6,Abarrotes,000198524,PELOTAS DE COLORES GRANDES,35.0,0.0,0.0,0,
6,Abarrotes,000198525,GALLETA PINDI,55.0,8.0,8.0,8.0,
6,Abarrotes,000198526,DINOSAURIO JUGUETE LAYIN-TOY,340.0,0.0,0.0,0,
6,Abarrotes,000198527,MUÑECA LQL,70.0,0.0,0.0,0,
6,Abarrotes,000198528,CARRO OFF ROAD,330.0,0.0,0.0,0,
7,Abarrotes,000198529,JUEGO DE COSMETICO,200.0,0.0,0.0,0,
7,Abarrotes,000198530,MUÑECA LOWERLY,190.0,0.0,0.0,0,
7,Abarrotes,000198531,MOTOCICLETA,150.0,0.0,0.0,0,
7,Abarrotes,000198532,JUEGO DE COCINA,320.0,0.0,0.0,0,
7,Abarrotes,000198533,JUEGO DE CARRO FAST,260.0,0.0,0.0,0,
7,Abarrotes,000198534,HUEVO CON CARRITO,50.0,0.0,0.0,0,
7,Abarrotes,000198535,CARRETILLA SHOPPING,385.0,0.0,0.0,0,
7,Abarrotes,000198536,RELOJ DE PARED,220.0,0.0,0.0,0,
7,Abarrotes,000198537,SET DE JUGUETE KITCHEN WONDER,110.0,0.0,0.0,0,
7,Abarrotes,000198538,SET DE JUGUETE WORLD MEAL,130.0,0.0,0.0,0,
7,Abarrotes,000198539,LAZITOS PRETTY BABY,40.0,0.0,0.0,0,
7,Abarrotes,000198540,CINTILLO JEWERY,50.0,5.0,5.0,5.0,
7,Abarrotes,000198541,CIGARRO BELMONTH CLIC,7.0,0.0,0.0,0,
7,Abarrotes,000198542,JUGUETE POLTRY,130.0,0.0,0.0,0,
7,Abarrotes,000198543,CANDADO SHENLING,180.0,0.0,0.0,0,
7,Abarrotes,000198544,CALCETINES P/CABALLERO GALAN,18.0,0.0,0.0,0,
7,Abarrotes,000198545,CARRO CONTROL REMOTO,650.0,0.0,0.0,0,
7,Abarrotes,000198546,BLUMERES VARIADO,40.0,0.0,0.0,0,
7,Abarrotes,000198547,CUCHARAS METALICAS GRANDES,10.0,0.0,0.0,0,
7,Abarrotes,000198548,PAPEL HIGENICO ENCANTO 1000 HJ ECONOMICO,18.75,3.0,3.0,3.0,
7,Abarrotes,000198549,PLATO PM,40.0,8.0,8.0,8.0,
7,Abarrotes,000198550,PLATO REEZ,45.0,0.0,0.0,0,
7,Abarrotes,000198551,PLATO BIG HOME,70.0,0.0,0.0,0,
7,Abarrotes,000198552,PLATO ECONOMICO,20.0,0.0,0.0,0,
8,Abarrotes,000198553,Jabon hogareña,112.0,0.0,0.0,0,
8,Abarrotes,000198554,BOLSA PARTY GOODS PAQUETE,40.0,1.0,1.0,1.0,
8,Abarrotes,000198555,CARRITOS BEACH TOYS,40.0,0.0,0.0,0,
8,Abarrotes,000198556,Cuaderno Scribe Cocido,40.0,0.0,0.0,0,
8,Abarrotes,000198557,CUADERNO COCIDO SAV,45.0,0.0,0.0,0,
8,Abarrotes,000198558,Papel Higienico Nevax 1x12 XTRA MAS,340.0,594.0,594.0,594.0,
8,Abarrotes,000198559,Vasos Amarillos Carita,38.0,0.0,0.0,0,
8,Abarrotes,000198560,Chinelas Crocs Shoes,170.0,0.0,0.0,0,
8,Abarrotes,000198561,BUJIA LUMIMAX,85.0,0.0,0.0,0,
8,Abarrotes,000198709,SET DE TAZA LA ROSA,180.0,0.0,0.0,0,
8,Abarrotes,000198710,ABANICO TORNADO GRANDE,1000.0,0.0,0.0,0,
8,Abarrotes,000198711,EMBUDOS,25.0,0.0,0.0,0,
8,Abarrotes,000198712,PEPSI DE 1 LT,318.0,4.0,4.0,4.0,
8,Abarrotes,000198713,PASTE DE BAÑO NIÑO SUAVE,20.0,0.0,0.0,0,
8,Abarrotes,000198714,PANITA BIG HOME,42.0,0.0,0.0,0,
8,Abarrotes,000198715,GALLETA SODA,35.0,0.0,0.0,0,
8,Abarrotes,000198716,CHINELA NIKE,245.0,0.0,0.0,0,
8,Abarrotes,000198717,VASO DE LICUADORA OSTER,250.0,0.0,0.0,0,
8,Abarrotes,000198718,CUCHILLA PARA LICUADORA,220.0,0.0,0.0,0,
8,Abarrotes,000198719,PLATO DE VIDRIO IBROS,60.0,0.0,0.0,0,
8,Abarrotes,000198720,TAZAS PLATICAS FLOREADA,40.0,0.0,0.0,0,
8,Abarrotes,000198721,TAZA LOZA,55.0,0.0,0.0,0,
8,Abarrotes,000198722,CARAMELO COLOMBINA,60.0,0.0,0.0,0,
8,Abarrotes,000198723,ARROZ GUARDABARRANCO,14.9,0.0,0.0,0,
9,Abarrotes,000198724,CALSETINES GALAN,20.0,0.0,0.0,0,
9,Abarrotes,000198725,CARRO TRACTOR DE ANIMALES,250.0,0.0,0.0,0,
9,Abarrotes,000198726,JUGUETE URBANO CONSTRUCCION,80.0,0.0,0.0,0,
9,Abarrotes,000198727,ALCOHOL DE 1 LT,120.0,3.0,7.0,7.0,
9,Abarrotes,000198728,CHINELA PATROL DE NIÑO,75.0,0.0,0.0,0,
9,Abarrotes,000198729,ANI,5.0,0.0,0.0,0,
9,Abarrotes,000198730,BOMBA PARA CHIMBOMBA,55.0,0.0,0.0,0,
9,Abarrotes,000198731,PICHELES DE COLORES PEQUEÑOS,20.0,2.0,2.0,2.0,
9,Abarrotes,000198732,ARROZ DOÑA MARIA 70/30 50 LB,725.0,0.0,0.0,0,
9,Abarrotes,000198733,ACEITE PALMA RICA 1/2 GALON,165.0,0.0,0.0,0,
9,Abarrotes,000198734,LIMAS BEAUTIFUL,5.0,0.0,0.0,0,
9,Abarrotes,000198735,CHOCOLATE I LOVE,190.0,0.0,0.0,0,
9,Abarrotes,000198736,CARRITO SORPRESA,115.0,0.0,0.0,0,
9,Abarrotes,000198737,DIADEMAS DE DAMA ECONOMICAS,35.0,0.0,0.0,0,
9,Abarrotes,000198738,CONTENEDOR 8X8,5.0,405.0,405.0,405.0,
9,Abarrotes,000198739,BAYGON OFERTA 400 ML,300.0,7.0,7.0,7.0,
9,Abarrotes,000198740,VASELINA SIMPLE 60 GR,25.0,0.0,0.0,0,
9,Abarrotes,000198741,CHINELA HELLO,90.0,0.0,0.0,0,
9,Abarrotes,000198742,MUÑECAS DE COLORES,200.0,0.0,0.0,0,
9,Abarrotes,000198743,ARROZ LUZ 80%,15.0,0.5,0.5,0.5,
9,Abarrotes,000198744,ARROZ LUZ 50%,12.9,0.0,0.0,0,
9,Abarrotes,000198745,BRILLATINA 46 GR,50.0,1.0,1.0,1.0,
9,Abarrotes,000198746,TOBILLERAS TEXAS,20.0,0.0,0.0,0,
9,Abarrotes,000198747,CALCETINES TEXAS BASIC,20.0,0.0,0.0,0,
10,Abarrotes,000198748,SERVILLETA LO NUESTRO,20.0,32.0,32.0,32.0,
10,Abarrotes,000198749,SEMOLINA,7.0,0.0,0.0,0,
10,Abarrotes,000198750,COLADOR STRAYNER,90.0,0.0,0.0,0,
10,Abarrotes,000198751,AJEDREZ MEDIANO,130.0,2.0,2.0,2.0,
10,Abarrotes,000198752,JUEGO DE PANA BLANCA 5 PIEZAS,185.0,0.0,0.0,0,
10,Abarrotes,000198753,PANA CAFE GRANDE,120.0,0.0,0.0,0,
10,Abarrotes,000198754,JABON LIQUIDO DOÑA TINA GALON,230.0,0.0,0.0,0,
10,Abarrotes,000198755,CANDADOS GRANDE YUNHUAN,75.0,0.0,0.0,0,
10,Abarrotes,000198756,RAQUETAS PARA MOSQUITOS,200.0,0.0,0.0,0,
10,Abarrotes,000198757,PORRA DE ALUMINIO # 20,200.0,0.0,0.0,0,
10,Abarrotes,000198758,PORRA DE ALUMINIO #18,200.0,0.0,0.0,0,
10,Abarrotes,000198759,PORRA DE ALUMINIO #24,360.0,0.0,0.0,0,
10,Abarrotes,000198760,PORRA DE ALUMINIO #32,400.0,0.0,0.0,0,
10,Abarrotes,000198761,PORRA DE ALUMINIO #16,140.0,0.0,0.0,0,
10,Abarrotes,000198762,MASETERA PEQUEÑA,100.0,0.0,0.0,0,
10,Abarrotes,000198763,MASETERA MEDIANA,115.0,0.0,0.0,0,
10,Abarrotes,000198764,VASOS PLASTICO,20.0,0.0,0.0,0,
10,Abarrotes,000198765,VASOS TRANSPARENTE DE COLORES,42.0,0.0,0.0,0,
10,Abarrotes,000198766,CHOCOLATE ISTAMBUL,210.0,0.0,0.0,0,
10,Abarrotes,000198767,ARROZ DOÑITA 80/20,1360.0,0.0,0.0,0,
10,Abarrotes,000198768,ARROZ DOÑA MARIA 50/50,13.5,0.5,0.5,0.5,
10,Abarrotes,000198770,CEPILLO LAVA ROPA PROBAL,25.0,0.0,0.0,0,
10,Abarrotes,000198771,PALETA DE LECHE (paleton),5.0,0.0,0.0,0,
10,Abarrotes,000198772,ARROZ CHAGUITO,19.9,0.0,0.0,0,
11,Abarrotes,000198773,ATOMIZADOR ALCOHOL SPRAY 70%,45.0,0.0,0.0,0,
11,Abarrotes,000198774,BOXER 400,45.0,0.0,0.0,0,
11,Abarrotes,000198775,TORTILLITAS LIMON,170.0,0.0,0.0,0,
11,Abarrotes,000198776,RINGOS QUESO,125.0,0.0,0.0,0,
11,Abarrotes,000198777,SHAMPO KB 32 ONZA,80.0,0.0,0.0,0,
11,Abarrotes,000198778,ARROZ DARIANO 96/4,21.8,26.0,26.0,26.0,
11,Abarrotes,000198779,ARROZ DARIANO 80/20,12.75,0.0,0.0,0,
11,Abarrotes,000198780,ARROZ DARIANO 60/40,12.1,0.0,0.0,0,
11,Abarrotes,000198781,VANIDAD P.W,110.0,0.0,0.0,0,
11,Abarrotes,000198782,RUBOR NIÑA BONITA,110.0,0.0,0.0,0,
11,Abarrotes,000198783,LIMAS METALICAS,20.0,0.0,0.0,0,
11,Abarrotes,000198784,ALFILERES GENIAL,25.0,0.0,0.0,0,
11,Abarrotes,000198785,CORTA UÑA MEDIANO,25.0,0.0,0.0,0,
11,Abarrotes,000198786,LONCHERITA LUCH BOX,230.0,0.0,0.0,0,
11,Abarrotes,000198787,BOXER TRECO,100.0,4.0,4.0,4.0,
11,Abarrotes,000198788,CALZETIN TEXAS BASIC,20.0,0.0,0.0,0,
11,Abarrotes,000198789,TOALLA DE BAÑO ISWARA,210.0,0.0,0.0,0,
11,Abarrotes,000198790,TOALLA DE BAÑO CAMAZONA,210.0,0.0,0.0,0,
11,Abarrotes,000198791,BOLSAS DE BASURA ESTRELLA,95.0,0.0,0.0,0,
11,Abarrotes,000198792,BOLSA DE BASURA JARDIN,95.0,0.0,0.0,0,
11,Abarrotes,000198793,ARROZ DEL VALLE 80/20,16.0,0.5,0.5,0.5,
11,Abarrotes,000198794,VOLQUETE NEW,130.0,0.0,0.0,0,
11,Abarrotes,000198795,TAZAS PLASTICA DE COLORES,18.0,0.0,0.0,0,
11,Abarrotes,000198796,SAL PURAMAR,3.8,0.0,0.0,0,
12,Abarrotes,000198797,ARROZ ESPERANZA 50/50,13.0,0.0,0.0,0,
12,Abarrotes,000198798,CUCHARONES DE METAL,60.0,1.0,1.0,1.0,
12,Abarrotes,000198799,ARROZ LUZ 70/30,14.3,0.0,0.0,0,
12,Abarrotes,000198800,DOÑA LUZ ARROBA 80%,500.0,32.0,31.0,31.0,
12,Abarrotes,000198801,TERMO VACUM 450,185.0,1.0,1.0,1.0,
12,Abarrotes,000198802,PANITAS DE VIDRIO REDONDAS,46.0,0.0,0.0,0,
12,Abarrotes,000198803,SET DE TAZA DIAMONDS 1X6,170.0,0.0,0.0,0,
12,Abarrotes,000198804,SET DE VASO ZUMBA,140.0,0.0,0.0,0,
12,Abarrotes,000198805,SET DE VASO LOTUS 1X3,130.0,0.0,0.0,0,
12,Abarrotes,000198806,LUCES NAVIDEÑAS 60 LED,85.0,0.0,0.0,0,
12,Abarrotes,000198807,LUCES NAVIDEÑAS 10 LED,480.0,0.0,0.0,0,
12,Abarrotes,000198808,LUCES NAVIDEÑAS 100 LED,125.0,0.0,0.0,0,
12,Abarrotes,000198809,TRACTORES PEQUEÑOS,130.0,0.0,0.0,0,
12,Abarrotes,000198810,VOLQUETES MEDIANOS,240.0,0.0,0.0,0,
12,Abarrotes,000198811,GUITARRA CAFE,290.0,0.0,0.0,0,
12,Abarrotes,000198812,BOXER CALVIN KLEIN,110.0,0.0,0.0,0,
12,Abarrotes,000198813,TERMO RADIANT 1.8 LT,450.0,0.0,0.0,0,
12,Abarrotes,000198814,PINTURA ANNY SELECTION,30.0,3.0,3.0,3.0,
12,Abarrotes,000198815,ESCOBA KIKA,80.0,0.0,0.0,0,
12,Abarrotes,000198816,CARTERA DE DAMA MOLLA,380.0,0.0,0.0,0,
12,Abarrotes,000198817,LAPICERO PAPER MATE,8.0,12.0,12.0,12.0,
12,Abarrotes,000199330,LAVA PACHA FISH,50.0,0.0,0.0,0,
12,Abarrotes,000199331,ARROZ EL PAISANO 80/20,21.0,1602.5,1502.5,1502.5,
12,Abarrotes,000199332,PASTE DE ESPONJA,50.0,0.0,0.0,0,
13,Abarrotes,000199333,ARROZ CABALLO NEGRO,22.8,729.0,629.0,629.0,
13,Abarrotes,000199334,MARUCHAN CUP NOODLS,220.0,0.0,0.0,0,
13,Abarrotes,000199335,ARROZ ECONOMICO 60/40,12.9,0.0,0.0,0,
13,Abarrotes,000199336,CREMA PECORA,80.0,0.0,0.0,0,
13,Abarrotes,000199337,BUJIA TRES B 25 WATTS,150.0,6.0,6.0,6.0,
13,Abarrotes,000199338,BUJIA TRES B 20 WATTS,75.0,0.0,0.0,0,
13,Abarrotes,000199339,BUJIAS TRES B 45 WATTS,175.0,2.0,2.0,2.0,
13,Abarrotes,000199340,BRASIER ROSADO FENZIXIA,85.0,0.0,0.0,0,
13,Abarrotes,000199341,BRASIER LINA FASHION,140.0,0.0,0.0,0,
13,Abarrotes,000199342,BOXER PEGASO,55.0,0.0,0.0,0,
13,Abarrotes,000199343,BOXER MR WOLF,50.0,0.0,0.0,0,
13,Abarrotes,000199344,TRAJECITOS BEBE,120.0,0.0,0.0,0,
13,Abarrotes,000199345,CAMISOLITA TRICOTEXTIL NIÑO,85.0,0.0,0.0,0,
13,Abarrotes,000199346,CALSETINES OJITOS,18.0,0.0,0.0,0,
13,Abarrotes,000199347,GUANTES PARA BEBE,35.0,0.0,0.0,0,
13,Abarrotes,000199348,LAZOS DE NIÑA,35.0,0.0,0.0,0,
13,Abarrotes,000199349,PORRA ALUMINIO #14,130.0,0.0,0.0,0,
13,Abarrotes,000199350,COMAL METALICO,185.0,0.0,0.0,0,
13,Abarrotes,000199351,LONCHERA TATOO,185.0,0.0,0.0,0,
13,Abarrotes,000199352,PALETA PINTA LABIO BENY 3 CORAZONES,65.0,0.0,0.0,0,
13,Abarrotes,000199353,JUEGO CUCHARAS TEFLON HAUS,135.0,0.0,0.0,0,
13,Abarrotes,000199354,CUCHARAS P TEFLON INDIVIDUAL,60.0,0.0,0.0,0,
13,Abarrotes,000199355,CUCHARAS DE PASCOS PLASTICAS,40.0,0.0,0.0,0,
13,Abarrotes,000199356,PLATERA SENCILLA CELESTE TIERNO,700.0,1.0,1.0,1.0,
14,Abarrotes,000199357,CORTA UÑA MINI PEQUEÑOS,15.0,7.0,7.0,7.0,
14,Abarrotes,000199358,TOSTADORA ASTOR,600.0,1.0,1.0,1.0,
14,Abarrotes,000199359,SET DE VASO PLASTICO,120.0,0.0,0.0,0,
